Wavelength,n,k
300,2.7314,0.55897
305,2.7266,0.55479
310,2.7276,0.55062
315,2.7336,0.54647
320,2.7435,0.54233
325,2.7555,0.53821
330,2.7674,0.53411
335,2.7769,0.53002
340,2.7822,0.52595
345,2.7829,0.52188
350,2.7806,0.51785
355,2.7776,0.51382
360,2.7771,0.50982
365,2.7814,0.50582
370,2.7922,0.50184
375,2.8103,0.49787
380,2.8356,0.49393
385,2.8681,0.49001
390,2.9063,0.4861
395,2.9492,0.48218
400,2.9961,0.47831
405,3.0444,0.47443
410,3.0908,0.47059
415,3.1332,0.46676
420,3.1696,0.46293
425,3.1984,0.45913
430,3.2191,0.45535
435,3.2318,0.45156
440,3.2376,0.4478
445,3.2376,0.44407
450,3.2332,0.44033
455,3.2256,0.43661
460,3.2159,0.43292
465,3.2048,0.42924
470,3.193,0.42559
475,3.181,0.42194
480,3.1691,0.4183
485,3.1575,0.41469
490,3.1462,0.41109
495,3.1355,0.40749
500,3.1253,0.40393
505,3.1156,0.40036
510,3.1065,0.39685
515,3.0979,0.39333
520,3.0898,0.3898
525,3.0821,0.38631
530,3.0749,0.38283
535,3.0681,0.37939
540,3.0617,0.37593
545,3.0557,0.37249
550,3.05,0.36911
555,3.0447,0.36568
560,3.0396,0.36232
565,3.035,0.35895
570,3.0306,0.35561
575,3.0265,0.35225
580,3.0226,0.34896
585,3.0189,0.34565
590,3.0154,0.34235
595,3.0121,0.3391
600,3.0089,0.33583
605,3.0059,0.33258
610,3.003,0.32936
615,3.0003,0.32616
620,2.9977,0.32295
625,2.9952,0.31977
630,2.9929,0.31663
635,2.9906,0.31348
640,2.9885,0.31037
645,2.9865,0.30722
650,2.9847,0.30412
655,2.9829,0.30106
660,2.9813,0.29797
665,2.9797,0.29493
670,2.9783,0.2919
675,2.977,0.28888
680,2.9758,0.28588
685,2.9748,0.28289
690,2.9738,0.27993
695,2.9729,0.27694
700,2.9721,0.27402
705,2.9715,0.27108
710,2.9709,0.2682
715,2.9704,0.26527
720,2.97,0.26241
725,2.9696,0.25953
730,2.9694,0.25669
735,2.9692,0.25388
740,2.969,0.25106
745,2.9689,0.24824
750,2.9689,0.24546
755,2.9689,0.24271
760,2.969,0.23995
765,2.9691,0.2372
770,2.9693,0.23449
775,2.9695,0.23178
780,2.9698,0.22907
785,2.97,0.22641
790,2.9702,0.22375
795,2.9703,0.22109
800,2.9704,0.21848
805,2.9704,0.21588
810,2.9703,0.21329
815,2.9701,0.2107
820,2.9698,0.20813
825,2.9694,0.20557
830,2.9689,0.20305
835,2.9683,0.20051
840,2.9676,0.19803
845,2.9668,0.19556
850,2.9659,0.19306
855,2.965,0.19062
860,2.964,0.18819
865,2.9629,0.18574
870,2.9619,0.18335
875,2.9608,0.18097
880,2.9597,0.17858
885,2.9586,0.17624
890,2.9577,0.17388
895,2.9568,0.17155
900,2.9561,0.16923
905,2.9554,0.16694
910,2.9549,0.16467
915,2.9545,0.16238
920,2.9542,0.16016
925,2.954,0.1579
930,2.9539,0.15553
935,2.9539,0.15299
940,2.954,0.15035
945,2.9541,0.14751
950,2.9542,0.14451
955,2.9543,0.14134
960,2.9542,0.13792
965,2.954,0.1343
970,2.9537,0.13046
975,2.9531,0.1263
980,2.9523,0.12187
985,2.9512,0.11714
990,2.9499,0.11206
995,2.9482,0.10649
1000,2.9461,0.10035
1005,2.9436,0.09374
1010,2.9406,0.08631
1015,2.9373,0.07782
1020,2.9335,0.06802
1025,2.9293,0.05627
1030,2.9247,0.04466
1035,2.9198,0.03558
1040,2.9148,0.02846
1045,2.9098,0.02277
1050,2.9048,0.01821
1055,2.8998,0.01463
1060,2.8949,0.0118
1065,2.8902,0.00951
1070,2.8859,0.00767
1075,2.8819,0.00621
1080,2.8781,0.00504
1085,2.8746,0.0041
1090,2.8712,0.00335
1095,2.8681,0.00273
1100,2.8651,0.00223
1105,2.8623,0.00182
1110,2.8596,0.0015
1115,2.857,0.00123
1120,2.8546,0.00101
1125,2.8522,0.00084
1130,2.85,0.00069
1135,2.8478,0.00057
1140,2.8457,0.00048
1145,2.8436,0.00039
1150,2.8417,0.00033
1155,2.8397,0.00027
1160,2.8379,0.00023
1165,2.8361,0.00019
1170,2.8343,0.00016
1175,2.8326,0.00013
1180,2.8309,0.00011
1185,2.8293,0.00009
1190,2.8277,0.00008
1195,2.8261,0.00007
1200,2.8246,0.00006
1205,2.8232,0.00005
1210,2.8217,0.00004
1215,2.8203,0.00003
1220,2.8189,0.00003
1225,2.8176,0.00002
1230,2.8163,0.00002
1235,2.815,0.00002
1240,2.8137,0.00002
1245,2.8125,0.00001
1250,2.8113,0.00001
1255,2.8101,0.00001
1260,2.8089,0.00001
1265,2.8078,0.00001
1270,2.8066,0.00001
1275,2.8055,0.00001
1280,2.8045,0
1285,2.8034,0
1290,2.8024,0
1295,2.8013,0
1300,2.8003,0
2000,2.8003,0
