Wavelength,n,k
200,0.64007,3.05717
202,0.68729,3.13242
204,0.7345,3.20766
206,0.78172,3.28291
208,0.82894,3.35816
210,0.87616,3.43341
212,0.92338,3.50865
214,0.97136,3.5841
216,1.02462,3.66076
218,1.08488,3.73838
220,1.15354,3.81615
222,1.23202,3.89272
224,1.3218,3.96594
226,1.42408,4.03271
228,1.53904,4.08869
230,1.66507,4.12843
232,1.79768,4.14652
234,1.92905,4.13957
236,2.04908,4.10787
238,2.14881,4.05783
240,2.22311,3.9995
242,2.27358,3.94374
244,2.30601,3.89822
246,2.32786,3.86631
248,2.34587,3.8475
250,2.36458,3.83917
252,2.38638,3.83815
254,2.412,3.84156
256,2.44126,3.84726
258,2.47339,3.85385
260,2.50763,3.86064
262,2.54335,3.86742
264,2.58026,3.87429
266,2.6183,3.88137
268,2.65771,3.88879
270,2.69882,3.89645
272,2.74213,3.90408
274,2.788,3.91119
276,2.8367,3.91708
278,2.88834,3.92091
280,2.94273,3.92184
282,2.99943,3.91899
284,3.05784,3.91162
286,3.11711,3.89908
288,3.1762,3.881
290,3.234,3.85723
292,3.28939,3.82792
294,3.34129,3.79353
296,3.38882,3.75468
298,3.43126,3.71225
300,3.46812,3.66717
302,3.49912,3.62046
304,3.52413,3.57312
306,3.54349,3.52612
308,3.55757,3.4802
310,3.56663,3.43614
312,3.57147,3.39438
314,3.57252,3.3554
316,3.57047,3.3194
318,3.56584,3.28656
320,3.55923,3.25687
322,3.55105,3.23037
324,3.54183,3.20683
326,3.53188,3.18627
328,3.52156,3.16839
330,3.51112,3.15301
332,3.50079,3.13998
334,3.49074,3.12907
336,3.48111,3.12004
338,3.47197,3.1127
340,3.46344,3.10689
342,3.45556,3.10245
344,3.44835,3.0992
346,3.44182,3.09697
348,3.43596,3.09564
350,3.43078,3.09509
352,3.42625,3.09521
354,3.42233,3.09589
356,3.41901,3.09707
358,3.41624,3.09866
360,3.414,3.10059
362,3.41222,3.10281
364,3.4109,3.10528
366,3.40996,3.10794
368,3.40941,3.11076
370,3.40918,3.11372
372,3.40923,3.11679
374,3.40954,3.11996
376,3.41007,3.1232
378,3.41081,3.12651
380,3.41171,3.12989
382,3.41274,3.13333
384,3.41389,3.13681
386,3.41513,3.14036
388,3.41645,3.14397
390,3.41782,3.14765
392,3.41925,3.1514
394,3.42069,3.15523
396,3.42216,3.15915
398,3.42363,3.16317
400,3.42511,3.16729
402,3.42658,3.17154
404,3.42805,3.1759
406,3.42951,3.18041
408,3.43096,3.18506
410,3.43241,3.18989
412,3.43386,3.19487
414,3.43531,3.20004
416,3.43676,3.20539
418,3.43826,3.21096
420,3.43976,3.21672
422,3.44132,3.22269
424,3.44293,3.22888
426,3.44459,3.23529
428,3.44635,3.24194
430,3.4482,3.24882
432,3.45015,3.25591
434,3.45225,3.26327
436,3.45449,3.27084
438,3.45689,3.27862
440,3.45949,3.28666
442,3.46228,3.29491
444,3.4653,3.30334
446,3.46855,3.31199
448,3.47209,3.32083
450,3.47591,3.32984
452,3.48001,3.33901
454,3.48443,3.3483
456,3.48921,3.35774
458,3.49434,3.36725
460,3.49983,3.37684
462,3.5057,3.38647
464,3.51195,3.39613
466,3.51862,3.40577
468,3.52571,3.41537
470,3.53322,3.42489
472,3.54113,3.4343
474,3.54947,3.44357
476,3.55821,3.45265
478,3.56735,3.46152
480,3.57689,3.47013
482,3.58681,3.47846
484,3.59709,3.48645
486,3.60772,3.49407
488,3.61867,3.50129
490,3.62992,3.50808
492,3.64141,3.51441
494,3.65313,3.52026
496,3.66502,3.5256
498,3.67705,3.53042
500,3.68918,3.53469
502,3.70137,3.53841
504,3.71356,3.54157
506,3.7257,3.54416
508,3.73776,3.5462
510,3.74968,3.54767
512,3.76143,3.5486
514,3.77296,3.54902
516,3.78419,3.54889
518,3.79511,3.54827
520,3.80567,3.54721
522,3.81586,3.54573
524,3.82564,3.54387
526,3.83498,3.54165
528,3.84387,3.53914
530,3.85229,3.53635
532,3.86022,3.53334
534,3.86767,3.53015
536,3.87458,3.52679
538,3.88095,3.52332
540,3.88681,3.5198
542,3.89219,3.51626
